Sediment/Soil,Skin,aOral,mOral,Unknown,Running time (s),Sink,decOM_max,p_Sediment/Soil,p_Skin,p_aOral,p_mOral,p_Unknown
6,82,146,719,6019,31.4181,sample1_trimmed,Unknown,0.0861,1.1761,2.0941,10.3127,86.331
463,297,220,828,2366,10.6375,sample2_trimmed,Unknown,11.0925,7.1155,5.2707,19.8371,56.6842
584,285,319,419,2999,8.0713,sample3_trimmed,Unknown,12.6791,6.1876,6.9257,9.0968,65.1107
626,38,42,83,4114,8.2965,sample4_trimmed,Unknown,12.7677,0.775,0.8566,1.6928,83.9078
180,172,48,160,4583,8.0259,sample5_trimmed,Unknown,3.4999,3.3444,0.9333,3.111,89.1114
34,46,5,41,4872,8.8134,sample6_trimmed,Unknown,0.6803,0.9204,0.1,0.8203,97.479
9,20,0,0,6071,8.1728,sample7_trimmed,Unknown,0.1475,0.3279,0.0,0.0,99.5246
0,0,0,0,7194,9.4336,sample8_trimmed,Unknown,0.0,0.0,0.0,0.0,100.0
352,73,2,30,6930,9.038,sample9_trimmed,Unknown,4.7651,0.9882,0.0271,0.4061,93.8135
0,0,0,0,7675,9.1209,sample10_trimmed,Unknown,0.0,0.0,0.0,0.0,100.0
