Env	SourceSink
SRS011061	Gut	source
SRS011084	Gut	source
SRS011086	Oral	source
SRS011090	Oral	source
SRS011098	Oral	source
SRS011111	Vaginal	source
SRS011115	Oral	source
SRS011126	Oral	source
SRS011132	Skin	source
SRS011134	Gut	source
SRS011140	Oral	source
SRS011144	Oral	source
SRS011152	Oral	source
SRS011239	Gut	source
SRS011243	Oral	source
SRS011247	Oral	source
SRS011255	Oral	source
SRS011263	Skin	source
SRS011269	Vaginal	source
SRS011271	Gut	source
SRS011302	Gut	source
SRS011306	Oral	source
SRS011310	Oral	source
SRS011343	Oral	source
SRS011355	Vaginal	source
SRS011397	Skin	source
SRS011405	Gut	source
SRS011452	Gut	source
SRS011529	Gut	source
SRS011584	Vaginal	source
SRS011586	Gut	source
SRS012273	Gut	source
SRS012279	Oral	source
SRS012281	Oral	source
SRS012285	Oral	source
SRS012291	Skin	source
SRS012294	Vaginal	source
SRS012663	Skin	source
SRS012849	Gut	source
SRS012902	Gut	source
SRS012916	Oral	source
SRS012918	Oral	source
SRS012922	Oral	source
SRS012924	Skin	source
SRS012934	Vaginal	source
SRS012969	Gut	source
SRS012983	Oral	source
SRS012985	Oral	source
SRS012989	Oral	source
SRS012998	Skin	source
SRS013098	Gut	source
SRS013155	Skin	source
SRS013158	Gut	source
SRS013164	Oral	source
SRS013170	Oral	source
SRS013215	Gut	source
SRS013216	Gut	source
SRS013234	Oral	source
SRS013239	Oral	source
SRS013252	Oral	source
SRS013258	Skin	source
SRS013261	Skin	source
SRS013269	Skin	source
SRS013382	Gut	source
SRS013476	Gut	source
SRS013502	Oral	source
SRS013506	Oral	source
SRS013521	Gut	source
SRS013533	Oral	source
SRS013542	Vaginal	source
SRS013637	Skin	source
SRS013638	Gut	source
SRS013639	Gut	source
SRS013651	Oral	source
SRS013663	Oral	source
SRS013687	Gut	source
SRS013705	Oral	source
SRS013711	Oral	source
SRS013723	Oral	source
SRS013740	Skin	source
SRS013800	Gut	source
SRS013818	Oral	source
SRS013825	Oral	source
SRS013836	Oral	source
SRS013876	Skin	source
SRS013879	Oral	source
SRS013881	Oral	source
SRS013927	Oral	source
SRS013938	Oral	source
SRS013940	Gut	source
SRS013942	Oral	source
SRS013945	Oral	source
SRS013946	Oral	source
SRS013947	Oral	source
SRS013948	Oral	source
SRS013949	Oral	source
SRS013950	Oral	source
SRS013951	Gut	source
SRS013956	Skin	source
SRS013965	Gut	source
SRS013973	Vaginal	source
SRS014107	Oral	source
SRS014124	Oral	source
SRS014126	Oral	source
SRS014127	Oral	source
SRS014235	Gut	source
SRS014271	Oral	source
SRS014287	Gut	source
SRS014313	Gut	source
SRS014343	Vaginal	source
SRS014344	Gut	source
SRS014391	Gut	source
SRS014402	Oral	source
SRS014404	Oral	source
SRS014412	Gut	source
SRS014415	Vaginal	source
SRS014459	Gut	source
SRS014464	Skin	source
SRS014465	Vaginal	source
SRS014466	Vaginal	source
SRS014468	Oral	source
SRS014470	Oral	source
SRS014472	Oral	source
SRS014473	Oral	source
SRS014474	Oral	source
SRS014475	Oral	source
SRS014476	Oral	source
SRS014477	Oral	source
SRS014494	Vaginal	source
SRS014523	Vaginal	source
SRS014524	Oral	source
SRS014528	Oral	source
SRS014530	Oral	source
SRS014534	Gut	source
SRS014573	Oral	source
SRS014575	Oral	source
SRS014578	Oral	source
SRS014613	Gut	source
SRS014629	Vaginal	source
SRS014682	Skin	source
SRS014683	Gut	source
SRS014684	Oral	source
SRS014686	Oral	source
SRS014687	Oral	source
SRS014689	Oral	source
SRS014690	Oral	source
SRS014691	Oral	source
SRS014692	Oral	source
SRS014728	Oral	source
SRS014736	Gut	source
SRS014744	Vaginal	source
SRS014787	Oral	source
SRS014801	Vaginal	source
SRS014855	Gut	source
SRS014888	Oral	source
SRS014890	Oral	source
SRS014894	Oral	source
SRS014901	Skin	source
SRS014923	Gut	source
SRS014935	Oral	source
SRS014941	Oral	source
SRS014948	Gut	source
SRS014979	Gut	source
SRS014998	Gut	source
SRS015038	Oral	source
SRS015040	Oral	source
SRS015044	Oral	source
SRS015051	Skin	source
SRS015054	Vaginal	source
SRS015057	Oral	source
SRS015059	Oral	source
SRS015060	Oral	source
SRS015061	Oral	source
SRS015062	Oral	source
SRS015063	Oral	source
SRS015064	Oral	source
SRS015065	Gut	source
SRS015071	Vaginal	source
SRS015072	Vaginal	source
SRS015073	Vaginal	source
SRS015095	Gut	source
SRS015116	Oral	source
SRS015120	Oral	source
SRS015128	Oral	source
SRS015133	Gut	source
SRS015148	Vaginal	source
SRS015154	Oral	source
SRS015158	Oral	source
SRS015168	Vaginal	source
SRS015174	Oral	source
SRS015190	Gut	source
SRS015209	Oral	source
SRS015215	Oral	source
SRS015217	Gut	source
SRS015225	Vaginal	source
SRS015246	Gut	source
SRS015264	Gut	source
SRS015269	Skin	source
SRS015272	Oral	source
SRS015274	Oral	source
SRS015278	Oral	source
SRS015280	Gut	source
SRS015290	Skin	source
SRS015296	Oral	source
SRS015308	Oral	source
SRS015369	Gut	source
SRS015374	Oral	source
SRS015378	Oral	source
SRS015381	Skin	source
